tag_id,taggable_id,taggable_type
34,101,App\Politician
24,101,App\Politician
6,102,App\Politician
30,102,App\Politician
24,102,App\Politician
6,103,App\Politician
10,103,App\Politician
24,103,App\Politician
6,104,App\Politician
9,104,App\Politician
24,104,App\Politician
6,105,App\Politician
42,105,App\Politician
24,105,App\Politician
1,106,App\Politician
38,106,App\Politician
24,106,App\Politician
1,107,App\Politician
40,107,App\Politician
24,107,App\Politician
1,108,App\Politician
50,108,App\Politician
24,108,App\Politician
1,109,App\Politician
51,109,App\Politician
24,109,App\Politician
6,110,App\Politician
23,110,App\Politician
24,110,App\Politician
6,111,App\Politician
52,111,App\Politician
24,111,App\Politician
6,112,App\Politician
10,112,App\Politician
24,112,App\Politician
1,113,App\Politician
46,113,App\Politician
24,113,App\Politician
1,114,App\Politician
45,114,App\Politician
24,114,App\Politician
6,115,App\Politician
10,115,App\Politician
24,115,App\Politician
6,116,App\Politician
53,116,App\Politician
4,116,App\Politician
6,117,App\Politician
40,117,App\Politician
24,117,App\Politician
1,118,App\Politician
12,118,App\Politician
24,118,App\Politician
1,119,App\Politician
30,119,App\Politician
24,119,App\Politician
1,120,App\Politician
54,120,App\Politician
4,120,App\Politician
1,121,App\Politician
50,121,App\Politician
4,121,App\Politician
1,122,App\Politician
31,122,App\Politician
4,122,App\Politician
6,123,App\Politician
55,123,App\Politician
4,123,App\Politician
6,124,App\Politician
22,124,App\Politician
24,124,App\Politician
1,125,App\Politician
39,125,App\Politician
24,125,App\Politician
6,126,App\Politician
35,126,App\Politician
24,126,App\Politician
6,127,App\Politician
56,127,App\Politician
24,127,App\Politician
6,128,App\Politician
34,128,App\Politician
24,128,App\Politician
6,129,App\Politician
30,129,App\Politician
24,129,App\Politician
6,130,App\Politician
47,130,App\Politician
24,130,App\Politician
6,131,App\Politician
3,131,App\Politician
24,131,App\Politician
1,132,App\Politician
57,132,App\Politician
4,132,App\Politician
1,133,App\Politician
44,133,App\Politician
24,133,App\Politician
1,134,App\Politician
58,134,App\Politician
24,134,App\Politician
1,135,App\Politician
12,135,App\Politician
24,135,App\Politician
6,136,App\Politician
13,136,App\Politician
24,136,App\Politician
6,137,App\Politician
51,137,App\Politician
24,137,App\Politician
6,138,App\Politician
47,138,App\Politician
24,138,App\Politician
1,139,App\Politician
39,139,App\Politician
24,139,App\Politician
1,140,App\Politician
50,140,App\Politician
24,140,App\Politician
1,141,App\Politician
39,141,App\Politician
24,141,App\Politician
1,142,App\Politician
17,142,App\Politician
4,142,App\Politician
6,143,App\Politician
30,143,App\Politician
24,143,App\Politician
6,144,App\Politician
25,144,App\Politician
24,144,App\Politician
6,145,App\Politician
9,145,App\Politician
24,145,App\Politician
1,146,App\Politician
25,146,App\Politician
24,146,App\Politician
6,147,App\Politician
35,147,App\Politician
24,147,App\Politician
6,148,App\Politician
45,148,App\Politician
24,148,App\Politician
6,149,App\Politician
50,149,App\Politician
24,149,App\Politician
1,150,App\Politician
22,150,App\Politician
24,150,App\Politician
6,151,App\Politician
31,151,App\Politician
