tag,taggable_id,taggable_type
Senator,92,politician
Democratic Party,93,politician
Nevada,93,politician
US Representative,93,politician
Republican Party,94,politician
Illinois,94,politician
US Representative,94,politician
Democratic Party,95,politician
Indiana,95,politician
Senator,95,politician
Democratic Party,96,politician
California,96,politician
US Representative,96,politician
Republican Party,97,politician
South Carolina,97,politician
US Representative,97,politician
Republican Party,98,politician
Arkansas,98,politician
Senator,98,politician
Republican Party,99,politician
South Carolina,99,politician
US Representative,99,politician
Democratic Party,100,politician
New York,100,politician
US Representative,100,politician
Republican Party,101,politician
Tennessee,101,politician
US Representative,101,politician
Republican Party,102,politician
Alabama,102,politician
US Representative,102,politician
Republican Party,103,politician
Florida,103,politician
US Representative,103,politician
Republican Party,104,politician
Texas,104,politician
US Representative,104,politician
Republican Party,105,politician
Utah,105,politician
US Representative,105,politician
Democratic Party,106,politician
North Carolina,106,politician
US Representative,106,politician
Democratic Party,107,politician
Georgia,107,politician
US Representative,107,politician
Democratic Party,108,politician
Illinois,108,politician
US Representative,108,politician
Democratic Party,109,politician
Oklahoma,109,politician
US Representative,109,politician
Republican Party,110,politician
Louisiana,110,politician
US Representative,110,politician
Republican Party,111,politician
Minnesota,111,politician
US Representative,111,politician
Republican Party,112,politician
Florida,112,politician
US Representative,112,politician
Democratic Party,113,politician
Kansas,113,politician
US Representative,113,politician
Democratic Party,114,politician
Iowa,114,politician
US Representative,114,politician
Republican Party,115,politician
Florida,115,politician
US Representative,115,politician
Republican Party,116,politician
Wyoming,116,politician
Senator,116,politician
Republican Party,117,politician
Georgia,117,politician
US Representative,117,politician
Democratic Party,118,politician
Ohio,118,politician
US Representative,118,politician
Democratic Party,119,politician
Alabama,119,politician
US Representative,119,politician
Democratic Party,120,politician
Alaska,120,politician
Senator,120,politician
Democratic Party,121,politician
Illinois,121,politician
Senator,121,politician
Democratic Party,122,politician
Colorado,122,politician
Senator,122,politician
Republican Party,123,politician
Massachusetts,123,politician
Senator,123,politician
Republican Party,124,politician
Pennsylvania,124,politician
US Representative,124,politician
Democratic Party,125,politician
California,125,politician
US Representative,125,politician
Republican Party,126,politician
Michigan,126,politician
US Representative,126,politician
Republican Party,127,politician
North Dakota,127,politician
US Representative,127,politician
Republican Party,128,politician
Tennessee,128,politician
US Representative,128,politician
Republican Party,129,politician
Alabama,129,politician
US Representative,129,politician
Republican Party,130,politician
Indiana,130,politician
US Representative,130,politician
Republican Party,131,politician
New York,131,politician
US Representative,131,politician
Democratic Party,132,politician
Connecticut,132,politician
Senator,132,politician
Democratic Party,133,politician
Oregon,133,politician
US Representative,133,politician
Democratic Party,134,politician
Arizona,134,politician
US Representative,134,politician
Democratic Party,135,politician
Ohio,135,politician
US Representative,135,politician
Republican Party,136,politician
Kentucky,136,politician
US Representative,136,politician
Republican Party,137,politician
Oklahoma,137,politician
US Representative,137,politician
Republican Party,138,politician
Indiana,138,politician
US Representative,138,politician
Democratic Party,139,politician
California,139,politician
US Representative,139,politician
Democratic Party,140,politician
Illinois,140,politician
US Representative,140,politician
Democratic Party,141,politician
California,141,politician
US Representative,141,politician
Democratic Party,142,politician
New Jersey,142,politician
Senator,142,politician
Republican Party,143,politician
Alabama,143,politician
US Representative,143,politician
Republican Party,144,politician
Virginia,144,politician
US Representative,144,politician
Republican Party,145,politician
Texas,145,politician
US Representative,145,politician
Democratic Party,146,politician
Virginia,146,politician
US Representative,146,politician
Republican Party,147,politician
Michigan,147,politician
US Representative,147,politician
Republican Party,148,politician
Iowa,148,politician
US Representative,148,politician
Republican Party,149,politician
Illinois,149,politician
US Representative,149,politician
Democratic Party,150,politician
Pennsylvania,150,politician
US Representative,150,politician
Republican Party,151,politician
Colorado,151,politician
US Representative,151,politician
Republican Party,152,politician
Nebraska,152,politician
US Representative,152,politician
Republican Party,153,politician
Indiana,153,politician
US Representative,153,politician
Democratic Party,154,politician
California,154,politician
US Representative,154,politician
Republican Party,155,politician
Michigan,155,politician
US Representative,155,politician
Republican Party,156,politician
Arizona,156,politician
US Representative,156,politician
Democratic Party,157,politician
Delaware,157,politician
US Representative,157,politician
Democratic Party,158,politician
Maryland,158,politician
US Representative,158,politician
Republican Party,159,politician
North Carolina,159,politician
US Representative,159,politician
Republican Party,160,politician
California,160,politician
US Representative,160,politician
Republican Party,161,politician
Michigan,161,politician
US Representative,161,politician
Republican Party,162,politician
Utah,162,politician
US Representative,162,politician
Democratic Party,163,politician
Washington,163,politician
Senator,163,politician
Democratic Party,164,politician
Maryland,164,politician
Senator,164,politician
Democratic Party,165,politician
Delaware,165,politician
Senator,165,politician
Democratic Party,166,politician
Indiana,166,politician
US Representative,166,politician
Republican Party,167,politician
Delaware,167,politician
US Representative,167,politician
Republican Party,168,politician
Ohio,168,politician
US Representative,168,politician
Republican Party,169,politician
Georgia,169,politician
Senator,169,politician
Democratic Party,170,politician
South Carolina,170,politician
US Representative,170,politician
Republican Party,171,politician
Indiana,171,politician
Senator,171,politician
Republican Party,172,politician
North Carolina,172,politician
US Representative,172,politician
Republican Party,173,politician
Oklahoma,173,politician
Senator,173,politician
Republican Party,174,politician
Mississippi,174,politician
Senator,174,politician
Democratic Party,175,politician
North Dakota,175,politician
Senator,175,politician
Democratic Party,176,politician
Michigan,176,politician
US Representative,176,politician
Democratic Party,177,politician
Tennessee,177,politician
US Representative,177,politician
Democratic Party,178,politician
Illinois,178,politician
US Representative,178,politician
Republican Party,179,politician
Idaho,179,politician
Senator,179,politician
Democratic Party,180,politician
Alabama,180,politician
US Representative,180,politician
Republican Party,181,politician
Idaho,181,politician
Senator,181,politician
Republican Party,182,politician
Wyoming,182,politician
US Representative,182,politician
Democratic Party,183,politician
Maryland,183,politician
US Representative,183,politician
Republican Party,184,politician
Maine,184,politician
Senator,184,politician
Democratic Party,185,politician
California,185,politician
US Representative,185,politician
Democratic Party,186,politician
Massachusetts,186,politician
US Representative,186,politician
Democratic Party,187,politician
New York,187,politician
US Representative,187,politician
Republican Party,188,politician
Florida,188,politician
US Representative,188,politician
Republican Party,189,politician
Virginia,189,politician
US Representative,189,politician
Republican Party,190,politician
West Virginia,190,politician
Senator,190,politician
Republican Party,191,politician
Texas,191,politician
US Representative,191,politician
Democratic Party,192,politician
Missouri,192,politician
US Representative,192,politician
Democratic Party,193,politician
California,193,politician
US Representative,193,politician
Republican Party,194,politician
Texas,194,politician
US Representative,194,politician
Republican Party,195,politician
Oklahoma,195,politician
US Representative,195,politician
Republican Party,196,politician
Texas,196,politician
Senator,196,politician
Republican Party,197,politician
Minnesota,197,politician
Senator,197,politician
Democratic Party,198,politician
Kentucky,198,politician
US Representative,198,politician
Democratic Party,199,politician
California,199,politician
US Representative,199,politician
Democratic Party,200,politician
Missouri,200,politician
US Representative,200,politician
Democratic Party,201,politician
Missouri,201,politician
US Representative,201,politician
Republican Party,202,politician
Texas,202,politician
US Representative,202,politician
Democratic Party,203,politician
Texas,203,politician
US Representative,203,politician
Republican Party,204,politician
California,204,politician
US Representative,204,politician
Democratic Party,205,politician
Pennsylvania,205,politician
US Representative,205,politician
Democratic Party,206,politician
Florida,206,politician
US Representative,206,politician
Democratic Party,207,politician
New York,207,politician
US Representative,207,politician
Democratic Party,208,politician
Tennessee,208,politician
US Representative,208,politician
Democratic Party,209,politician
Connecticut,209,politician
US Representative,209,politician
Democratic Party,210,politician
Pennsylvania,210,politician
Senator,210,politician
Republican Party,211,politician
Tennessee,211,politician
Senator,211,politician
Democratic Party,212,politician
Indiana,212,politician
US Representative,212,politician
Democratic Party,213,politician
Louisiana,213,politician
US Representative,213,politician
Democratic Party,214,politician
Mississippi,214,politician
US Representative,214,politician
Republican Party,215,politician
Louisiana,215,politician
Senator,215,politician
Republican Party,216,politician
Utah,216,politician
US Representative,216,politician
Republican Party,217,politician
Colorado,217,politician
US Representative,217,politician
Democratic Party,218,politician
Virginia,218,politician
US Representative,218,politician
Republican Party,219,politician
Louisiana,219,politician
US Representative,219,politician
Democratic Party,220,politician
California,220,politician
US Representative,220,politician
Democratic Party,221,politician
Pennsylvania,221,politician
US Representative,221,politician
Republican Party,222,politician
Texas,222,politician
US Representative,222,politician
Democratic Party,223,politician
Delaware,223,politician
US Representative,223,politician
Democratic Party,224,politician
Rhode Island,224,politician
US Representative,224,politician
Democratic Party,225,politician
Michigan,225,politician
US Representative,225,politician
Republican Party,226,politician
Minnesota,226,politician
US Representative,226,politician
Republican Party,227,politician
Arkansas,227,politician
US Representative,227,politician
Democratic Party,228,politician
Delaware,228,politician
Senator,228,politician
Democratic Party,229,politician
Pennsylvania,229,politician
US Representative,229,politician
Democratic Party,230,politician
Texas,230,politician
US Representative,230,politician
Republican Party,231,politician
New York,231,politician
US Representative,231,politician
Republican Party,232,politician
Georgia,232,politician
US Representative,232,politician
Republican Party,233,politician
California,233,politician
US Representative,233,politician
Republican Party,234,politician
Arkansas,234,politician
Senator,234,politician
Republican Party,235,politician
North Dakota,235,politician
US Representative,235,politician
Democratic Party,236,politician
California,236,politician
US Representative,236,politician
Democratic Party,237,politician
Massachusetts,237,politician
US Representative,237,politician
Republican Party,238,politician
Georgia,238,politician
US Representative,238,politician
Republican Party,239,politician
Virginia,239,politician
US Representative,239,politician
Republican Party,240,politician
Pennsylvania,240,politician
US Representative,240,politician
Republican Party,241,politician
Florida,241,politician
US Representative,241,politician
Republican Party,242,politician
Kentucky,242,politician
US Representative,242,politician
Republican Party,243,politician
Wyoming,243,politician
US Representative,243,politician
Democratic Party,244,politician
California,244,politician
US Representative,244,politician
Democratic Party,245,politician
Florida,245,politician
US Representative,245,politician
Democratic Party,246,politician
California,246,politician
US Representative,246,politician
Democratic Party,247,politician
Nevada,247,politician
Senator,247,politician
Democratic Party,248,politician
Illinois,248,politician
US Representative,248,politician
Republican Party,249,politician
Virginia,249,politician
US Representative,249,politician
Republican Party,250,politician
Georgia,250,politician
US Representative,250,politician
Democratic Party,251,politician
Oregon,251,politician
US Representative,251,politician
Democratic Party,252,politician
Colorado,252,politician
US Representative,252,politician
Democratic Party,253,politician
Massachusetts,253,politician
US Representative,253,politician
Democratic Party,254,politician
Connecticut,254,politician
US Representative,254,politician
Republican Party,255,politician
Florida,255,politician
US Representative,255,politician
Democratic Party,256,politician
Washington,256,politician
US Representative,256,politician
Democratic Party,257,politician
Michigan,257,politician
US Representative,257,politician
Democratic Party,258,politician
Connecticut,258,politician
Senator,258,politician
Democratic Party,259,politician
Texas,259,politician
US Representative,259,politician
Republican Party,260,politician
New Mexico,260,politician
Senator,260,politician
Republican Party,261,politician
California,261,politician
US Representative,261,politician
Democratic Party,262,politician
North Dakota,262,politician
Senator,262,politician
Democratic Party,263,politician
Pennsylvania,263,politician
US Representative,263,politician
Republican Party,264,politician
California,264,politician
US Representative,264,politician
Republican Party,265,politician
Tennessee,265,politician
US Representative,265,politician
Democratic Party,266,politician
Illinois,266,politician
Senator,266,politician
Republican Party,267,politician
South Carolina,267,politician
Senator,267,politician
Republican Party,268,politician
Virginia,268,politician
US Representative,268,politician
Democratic Party,269,politician
California,269,politician
US Representative,269,politician
Democratic Party,270,politician
Tennessee,270,politician
US Representative,270,politician
Republican Party,271,politician
Florida,271,politician
US Representative,271,politician
Republican Party,272,politician
North Carolina,272,politician
Senator,272,politician
Democratic Party,273,politician
Alabama,273,politician
US Representative,273,politician
Republican Party,274,politician
Kentucky,274,politician
US Representative,274,politician
Republican Party,275,politician
Pennsylvania,275,politician
US Representative,275,politician
Republican Party,276,politician
Virginia,276,politician
US Representative,276,politician
Republican Party,277,politician
Tennessee,277,politician
US Representative,277,politician
Democratic Party,278,politician
Indiana,278,politician
Senator,278,politician
Democratic Party,279,politician
Pennsylvania,279,politician
US Representative,279,politician
Democratic Party,280,politician
Ohio,280,politician
US Representative,280,politician
Democratic Party,281,politician
Florida,281,politician
US Representative,281,politician
Republican Party,282,politician
Hawaii,282,politician
US Representative,282,politician
Republican Party,283,politician
California,283,politician
US Representative,283,politician
Republican Party,284,politician
Illinois,284,politician
US Representative,284,politician
Republican Party,285,politician
Wisconsin,285,politician
US Representative,285,politician
Republican Party,286,politician
South Carolina,286,politician
US Representative,286,politician
Republican Party,287,politician
Tennessee,287,politician
