legal_name,last_name,first_name,temp,tags,flip_background,flop_background
Thomas H. Allen,Allen,Thomas H.,Thomas H. Allen,"Democratic Party, Maine, US Representative",thomas_allen_red.png,thomas_allen_blue.png
W. Todd Akin,Akin,W. Todd,W. Todd Akin,"Republican Party, Missouri, US Representative",w._akin_red.png,w._akin_blue.png
Lamar  Alexander,Alexander,Lamar,Lamar Alexander,"Republican Party, Tennessee, Senator",lamar_alexander_red.png,lamar_alexander_blue.png
Rodney M. Alexander,Alexander,Rodney M.,Rodney M. Alexander,"Republican Party, Louisiana, US Representative",rodney_alexander_red.png,rodney_alexander_blue.png
Jason  Altmire,Altmire,Jason,Jason Altmire,"Democratic Party, Pennsylvania, US Representative",jason_altmire_red.png,jason_altmire_blue.png
Michael A. Arcuri,Arcuri,Michael A.,Michael A. Arcuri,"Democratic Party, New York, US Representative",michael_arcuri_red.png,michael_arcuri_blue.png
John H. Adler,Adler,John H.,John H. Adler,"Democratic Party, New Jersey, US Representative",john_adler_red.png,john_adler_blue.png
Steve  Austria,Austria,Steve,Steve Austria,"Republican Party, Ohio, US Representative",steve_austria_red.png,steve_austria_blue.png
Sandy  Adams,Adams,Sandy,Sandy Adams,"Republican Party, Florida, US Representative",sandy_adams_red.png,sandy_adams_blue.png
Justin  Amash,Amash,Justin,Justin Amash,"Republican Party, Michigan, US Representative",justin_amash_red.png,justin_amash_blue.png
Kelly  Ayotte,Ayotte,Kelly,Kelly Ayotte,"Republican Party, New Hampshire, Senator",kelly_ayotte_red.png,kelly_ayotte_blue.png
Mark E. Amodei,Amodei,Mark E.,Mark E. Amodei,"Republican Party, Nevada, US Representative",mark_amodei_red.png,mark_amodei_blue.png
Alma  Adams,Adams,Alma,Alma Adams,"Democratic Party, North Carolina, US Representative",alma_adams_red.png,alma_adams_blue.png
Pete  Aguilar,Aguilar,Pete,Pete Aguilar,"Democratic Party, California, US Representative",pete_aguilar_red.png,pete_aguilar_blue.png
Rick  Allen,Allen,Rick,Rick Allen,"Republican Party, Georgia, US Representative",rick_allen_red.png,rick_allen_blue.png
Ralph  Abraham,Abraham,Ralph,Ralph Abraham,"Republican Party, Louisiana, US Representative",ralph_abraham_red.png,ralph_abraham_blue.png
Jodey  Arrington,Arrington,Jodey,Jodey Arrington,"Republican Party, Texas, US Representative",jodey_arrington_red.png,jodey_arrington_blue.png
Spencer Thomas Bachus,Bachus,Spencer Thomas,Spencer Thomas Bachus,"Republican Party, Alabama, US Representative",spencer_bachus_red.png,spencer_bachus_blue.png
Richard Hugh Baker,Baker,Richard Hugh,Richard Hugh Baker,"Republican Party, Louisiana, US Representative",richard_baker_red.png,richard_baker_blue.png
Roscoe G. Bartlett,Bartlett,Roscoe G.,Roscoe G. Bartlett,"Republican Party, Maryland, US Representative",roscoe_bartlett_red.png,roscoe_bartlett_blue.png
Joe Linus Barton,Barton,Joe Linus,Joe Linus Barton,"Republican Party, Texas, US Representative",joe_barton_red.png,joe_barton_blue.png
Charles F. Bass,Bass,Charles F.,Charles F. Bass,"Republican Party, New Hampshire, US Representative",charles_bass_red.png,charles_bass_blue.png
Max S. Baucus,Baucus,Max S.,Max S. Baucus,"Democratic Party, Montana, Senator",max_baucus_red.png,max_baucus_blue.png
Xavier  Becerra,Becerra,Xavier,Xavier Becerra,"Democratic Party, California, US Representative",xavier_becerra_red.png,xavier_becerra_blue.png
Robert F. Bennett,Bennett,Robert F.,Robert F. Bennett,"Republican Party, Utah, Senator",robert_bennett_red.png,robert_bennett_blue.png
Howard L. Berman,Berman,Howard L.,Howard L. Berman,"Democratic Party, California, US Representative",howard_berman_red.png,howard_berman_blue.png
Robert Marion Berry,Berry,Robert Marion,Robert Marion Berry,"Democratic Party, Arkansas, US Representative",robert_berry_red.png,robert_berry_blue.png
Joseph R. Biden,Biden,Joseph R.,Joseph R. Biden,"Democratic Party, Delaware, Senator",joseph_biden_red.png,joseph_biden_blue.png
Brian P. Bilbray,Bilbray,Brian P.,Brian P. Bilbray,"Republican Party, California, US Representative",brian_bilbray_red.png,brian_bilbray_blue.png
Jeff  Bingaman,Bingaman,Jeff,Jeff Bingaman,"Democratic Party, New Mexico, Senator",jeff_bingaman_red.png,jeff_bingaman_blue.png
Sanford D. Bishop,Bishop,Sanford D.,Sanford D. Bishop,"Democratic Party, Georgia, US Representative",sanford_bishop_red.png,sanford_bishop_blue.png
Earl  Blumenauer,Blumenauer,Earl,Earl Blumenauer,"Democratic Party, Oregon, US Representative",earl_blumenauer_red.png,earl_blumenauer_blue.png
Roy  Blunt,Blunt,Roy,Roy Blunt,"Republican Party, Missouri, Senator",roy_blunt_red.png,roy_blunt_blue.png
John A. Boehner,Boehner,John A.,John A. Boehner,"Republican Party, Ohio, US Representative",john_boehner_red.png,john_boehner_blue.png
Christopher S. Bond,Bond,Christopher S.,Christopher S. Bond,"Republican Party, Missouri, Senator",christopher_bond_red.png,christopher_bond_blue.png
Leonard L. Boswell,Boswell,Leonard L.,Leonard L. Boswell,"Democratic Party, Iowa, US Representative",leonard_boswell_red.png,leonard_boswell_blue.png
Frederick C. Boucher,Boucher,Frederick C.,Frederick C. Boucher,"Democratic Party, Virginia, US Representative",frederick_boucher_red.png,frederick_boucher_blue.png
Barbara  Boxer,Boxer,Barbara,Barbara Boxer,"Democratic Party, California, Senator",barbara_boxer_red.png,barbara_boxer_blue.png
Allen  Boyd,Boyd,Allen,Allen Boyd,"Democratic Party, Florida, US Representative",allen_boyd_red.png,allen_boyd_blue.png
Kevin P. Brady,Brady,Kevin P.,Kevin P. Brady,"Republican Party, Texas, US Representative",kevin_brady_red.png,kevin_brady_blue.png
Corrine  Brown,Brown,Corrine,Corrine Brown,"Democratic Party, Florida, US Representative",corrine_brown_red.png,corrine_brown_blue.png
Sherrod  Brown,Brown,Sherrod,Sherrod Brown,"Democratic Party, Ohio, Senator",sherrod_brown_red.png,sherrod_brown_blue.png
Samuel D. Brownback,Brownback,Samuel D.,Samuel D. Brownback,"Republican Party, Kansas, Senator",samuel_brownback_red.png,samuel_brownback_blue.png
Jim  Bunning,Bunning,Jim,Jim Bunning,"Republican Party, Kentucky, Senator",jim_bunning_red.png,jim_bunning_blue.png
Richard M. Burr,Burr,Richard M.,Richard M. Burr,"Republican Party, North Carolina, Senator",richard_burr_red.png,richard_burr_blue.png
Dan L. Burton,Burton,Dan L.,Dan L. Burton,"Republican Party, Indiana, US Representative",dan_burton_red.png,dan_burton_blue.png
Stephen E. Buyer,Buyer,Stephen E.,Stephen E. Buyer,"Republican Party, Indiana, US Representative",stephen_buyer_red.png,stephen_buyer_blue.png
Robert C. Byrd,Byrd,Robert C.,Robert C. Byrd,"Democratic Party, West Virginia, Senator",robert_byrd_red.png,robert_byrd_blue.png
Robert Alan Brady,Brady,Robert Alan,Robert Alan Brady,"Democratic Party, Pennsylvania, US Representative",robert_brady_red.png,robert_brady_blue.png
Mary Whitaker Bono Mack,Bono Mack,Mary Whitaker,Mary Whitaker Bono Mack,"Republican Party, California, US Representative",mary_bono_mack_red.png,mary_bono_mack_blue.png
Brian N. Baird,Baird,Brian N.,Brian N. Baird,"Democratic Party, Washington, US Representative",brian_baird_red.png,brian_baird_blue.png
Tammy  Baldwin,Baldwin,Tammy,Tammy Baldwin,"Democratic Party, Wisconsin, Senator",tammy_baldwin_red.png,tammy_baldwin_blue.png
Shelley  Berkley,Berkley,Shelley,Shelley Berkley,"Democratic Party, Nevada, US Representative",shelley_berkley_red.png,shelley_berkley_blue.png
Judy  Biggert,Biggert,Judy,Judy Biggert,"Republican Party, Illinois, US Representative",judy_biggert_red.png,judy_biggert_blue.png
Evan  Bayh,Bayh,Evan,Evan Bayh,"Democratic Party, Indiana, Senator",evan_bayh_red.png,evan_bayh_blue.png
Joe  Baca,Baca,Joe,Joe Baca,"Democratic Party, California, US Representative",joe_baca_red.png,joe_baca_blue.png
Henry E. Brown,Brown,Henry E.,Henry E. Brown,"Republican Party, South Carolina, US Representative",henry_brown_red.png,henry_brown_blue.png
John  Boozman,Boozman,John,John Boozman,"Republican Party, Arkansas, Senator",john_boozman_red.png,john_boozman_blue.png
James Gresham Barrett,Barrett,James Gresham,James Gresham Barrett,"Republican Party, South Carolina, US Representative",james_barrett_red.png,james_barrett_blue.png
Timothy H. Bishop,Bishop,Timothy H.,Timothy H. Bishop,"Democratic Party, New York, US Representative",timothy_bishop_red.png,timothy_bishop_blue.png
Marsha W. Blackburn,Blackburn,Marsha W.,Marsha W. Blackburn,"Republican Party, Tennessee, US Representative",marsha_blackburn_red.png,marsha_blackburn_blue.png
Jo  Bonner,Bonner,Jo,Jo Bonner,"Republican Party, Alabama, US Representative",jo_bonner_red.png,jo_bonner_blue.png
Virginia  Brown-Waite,Brown-Waite,Virginia,Virginia Brown-Waite,"Republican Party, Florida, US Representative",virginia_brown-waite_red.png,virginia_brown-waite_blue.png
Michael C. Burgess,Burgess,Michael C.,Michael C. Burgess,"Republican Party, Texas, US Representative",michael_burgess_red.png,michael_burgess_blue.png
Rob  Bishop,Bishop,Rob,Rob Bishop,"Republican Party, Utah, US Representative",rob_bishop_red.png,rob_bishop_blue.png
George Kenneth Butterfield,Butterfield,George Kenneth,George Kenneth Butterfield,"Democratic Party, North Carolina, US Representative",george_butterfield_red.png,george_butterfield_blue.png
John  Barrow,Barrow,John,John Barrow,"Democratic Party, Georgia, US Representative",john_barrow_red.png,john_barrow_blue.png
Melissa L. Bean,Bean,Melissa L.,Melissa L. Bean,"Democratic Party, Illinois, US Representative",melissa_bean_red.png,melissa_bean_blue.png
Dan  Boren,Boren,Dan,Dan Boren,"Democratic Party, Oklahoma, US Representative",dan_boren_red.png,dan_boren_blue.png
Charles W. Boustany,Boustany,Charles W.,Charles W. Boustany,"Republican Party, Louisiana, US Representative",charles_boustany_red.png,charles_boustany_blue.png
Michele Marie Bachmann,Bachmann,Michele Marie,Michele Marie Bachmann,"Republican Party, Minnesota, US Representative",michele_bachmann_red.png,michele_bachmann_blue.png
Gus M. Bilirakis,Bilirakis,Gus M.,Gus M. Bilirakis,"Republican Party, Florida, US Representative",gus_bilirakis_red.png,gus_bilirakis_blue.png
Nancy E. Boyda,Boyda,Nancy E.,Nancy E. Boyda,"Democratic Party, Kansas, US Representative",nancy_boyda_red.png,nancy_boyda_blue.png
Bruce L. Braley,Braley,Bruce L.,Bruce L. Braley,"Democratic Party, Iowa, US Representative",bruce_braley_red.png,bruce_braley_blue.png
