legal_name,last_name,first_name,temp,tags,flip_background,flop_background
John R. Carter,Carter,John R.,John R. Carter,"Republican Party, Texas, US Representative",john_carter_red.png,john_carter_blue.png
Tom  Cole,Cole,Tom,Tom Cole,"Republican Party, Oklahoma, US Representative",tom_cole_red.png,tom_cole_blue.png
John  Cornyn,Cornyn,John,John Cornyn,"Republican Party, Texas, Senator",john_cornyn_red.png,john_cornyn_blue.png
Norm  Coleman,Coleman,Norm,Norm Coleman,"Republican Party, Minnesota, Senator",norm_coleman_red.png,norm_coleman_blue.png
Ben  Chandler,Chandler,Ben,Ben Chandler,"Democratic Party, Kentucky, US Representative",ben_chandler_red.png,ben_chandler_blue.png
Jim  Costa,Costa,Jim,Jim Costa,"Democratic Party, California, US Representative",jim_costa_red.png,jim_costa_blue.png
Russ  Carnahan,Carnahan,Russ,Russ Carnahan,"Democratic Party, Missouri, US Representative",russ_carnahan_red.png,russ_carnahan_blue.png
Emanuel  Cleaver,Cleaver,Emanuel,Emanuel Cleaver,"Democratic Party, Missouri, US Representative",emanuel_cleaver_red.png,emanuel_cleaver_blue.png
K. Michael Conaway,Conaway,K. Michael,K. Michael Conaway,"Republican Party, Texas, US Representative",k._conaway_red.png,k._conaway_blue.png
Henry  Cuellar,Cuellar,Henry,Henry Cuellar,"Democratic Party, Texas, US Representative",henry_cuellar_red.png,henry_cuellar_blue.png
John Bayard Taylor Campbell,Campbell,John Bayard Taylor,John Bayard Taylor Campbell,"Republican Party, California, US Representative",john_campbell_red.png,john_campbell_blue.png
Christopher P. Carney,Carney,Christopher P.,Christopher P. Carney,"Democratic Party, Pennsylvania, US Representative",christopher_carney_red.png,christopher_carney_blue.png
Kathy  Castor,Castor,Kathy,Kathy Castor,"Democratic Party, Florida, US Representative",kathy_castor_red.png,kathy_castor_blue.png
Yvette D. Clarke,Clarke,Yvette D.,Yvette D. Clarke,"Democratic Party, New York, US Representative",yvette_clarke_red.png,yvette_clarke_blue.png
Steve  Cohen,Cohen,Steve,Steve Cohen,"Democratic Party, Tennessee, US Representative",steve_cohen_red.png,steve_cohen_blue.png
Joe  Courtney,Courtney,Joe,Joe Courtney,"Democratic Party, Connecticut, US Representative",joe_courtney_red.png,joe_courtney_blue.png
Robert P. Casey,Casey,Robert P.,Robert P. Casey,"Democratic Party, Pennsylvania, Senator",robert_casey_red.png,robert_casey_blue.png
Bob  Corker,Corker,Bob,Bob Corker,"Republican Party, Tennessee, Senator",bob_corker_red.png,bob_corker_blue.png
Andr√©  Carson,Carson,Andr√©,Andr√© Carson,"Democratic Party, Indiana, US Representative",andr„©_carson_red.png,andr„©_carson_blue.png
Donald J. Cazayoux,Cazayoux,Donald J.,Donald J. Cazayoux,"Democratic Party, Louisiana, US Representative",donald_cazayoux_red.png,donald_cazayoux_blue.png
Travis W. Childers,Childers,Travis W.,Travis W. Childers,"Democratic Party, Mississippi, US Representative",travis_childers_red.png,travis_childers_blue.png
Bill  Cassidy,Cassidy,Bill,Bill Cassidy,"Republican Party, Louisiana, Senator",bill_cassidy_red.png,bill_cassidy_blue.png
Jason  Chaffetz,Chaffetz,Jason,Jason Chaffetz,"Republican Party, Utah, US Representative",jason_chaffetz_red.png,jason_chaffetz_blue.png
Mike  Coffman,Coffman,Mike,Mike Coffman,"Republican Party, Colorado, US Representative",mike_coffman_red.png,mike_coffman_blue.png
Gerald E. Connolly,Connolly,Gerald E.,Gerald E. Connolly,"Democratic Party, Virginia, US Representative",gerald_connolly_red.png,gerald_connolly_blue.png
Anh  Cao,Cao,Anh,Anh Cao,"Republican Party, Louisiana, US Representative",anh_cao_red.png,anh_cao_blue.png
Judy M. Chu,Chu,Judy M.,Judy M. Chu,"Democratic Party, California, US Representative",judy_chu_red.png,judy_chu_blue.png
Mark S. Critz,Critz,Mark S.,Mark S. Critz,"Democratic Party, Pennsylvania, US Representative",mark_critz_red.png,mark_critz_blue.png
Francisco  Canseco,Canseco,Francisco,Francisco Canseco,"Republican Party, Texas, US Representative",francisco_canseco_red.png,francisco_canseco_blue.png
John C. Carney,Carney,John C.,John C. Carney,"Democratic Party, Delaware, US Representative",john_carney_red.png,john_carney_blue.png
David N. Cicilline,Cicilline,David N.,David N. Cicilline,"Democratic Party, Rhode Island, US Representative",david_cicilline_red.png,david_cicilline_blue.png
Hansen  Clarke,Clarke,Hansen,Hansen Clarke,"Democratic Party, Michigan, US Representative",hansen_clarke_red.png,hansen_clarke_blue.png
Chip  Cravaack,Cravaack,Chip,Chip Cravaack,"Republican Party, Minnesota, US Representative",chip_cravaack_red.png,chip_cravaack_blue.png
Eric A. Crawford,Crawford,Eric A.,Eric A. Crawford,"Republican Party, Arkansas, US Representative",eric_crawford_red.png,eric_crawford_blue.png
Chris Andrew Coons,Coons,Chris Andrew,Chris Andrew Coons,"Democratic Party, Delaware, Senator",chris_coons_red.png,chris_coons_blue.png
Matthew A. Cartwright,Cartwright,Matthew A.,Matthew A. Cartwright,"Democratic Party, Pennsylvania, US Representative",matthew_cartwright_red.png,matthew_cartwright_blue.png
Joaquin  Castro,Castro,Joaquin,Joaquin Castro,"Democratic Party, Texas, US Representative",joaquin_castro_red.png,joaquin_castro_blue.png
Chris  Collins,Collins,Chris,Chris Collins,"Republican Party, New York, US Representative",chris_collins_red.png,chris_collins_blue.png
Doug  Collins,Collins,Doug,Doug Collins,"Republican Party, Georgia, US Representative",doug_collins_red.png,doug_collins_blue.png
Paul  Cook,Cook,Paul,Paul Cook,"Republican Party, California, US Representative",paul_cook_red.png,paul_cook_blue.png
Tom  Cotton,Cotton,Tom,Tom Cotton,"Republican Party, Arkansas, Senator",tom_cotton_red.png,tom_cotton_blue.png
Kevin  Cramer,Cramer,Kevin,Kevin Cramer,"Republican Party, North Dakota, US Representative",kevin_cramer_red.png,kevin_cramer_blue.png
Tony  C√°rdenas,C√°rdenas,Tony,Tony C√°rdenas,"Democratic Party, California, US Representative",tony_c„°rdenas_red.png,tony_c„°rdenas_blue.png
Katherine M. Clark,Clark,Katherine M.,Katherine M. Clark,"Democratic Party, Massachusetts, US Representative",katherine_clark_red.png,katherine_clark_blue.png
Buddy  Carter,Carter,Buddy,Buddy Carter,"Republican Party, Georgia, US Representative",buddy_carter_red.png,buddy_carter_blue.png
Barbara  Comstock,Comstock,Barbara,Barbara Comstock,"Republican Party, Virginia, US Representative",barbara_comstock_red.png,barbara_comstock_blue.png
Ryan  Costello,Costello,Ryan,Ryan Costello,"Republican Party, Pennsylvania, US Representative",ryan_costello_red.png,ryan_costello_blue.png
Carlos  Curbelo,Curbelo,Carlos,Carlos Curbelo,"Republican Party, Florida, US Representative",carlos_curbelo_red.png,carlos_curbelo_blue.png
James  Comer,Comer,James,James Comer,"Republican Party, Kentucky, US Representative",james_comer_red.png,james_comer_blue.png
Liz  Cheney,Cheney,Liz,Liz Cheney,"Republican Party, Wyoming, US Representative",liz_cheney_red.png,liz_cheney_blue.png
J.  Correa,Correa,J.,J. Correa,"Democratic Party, California, US Representative",j._correa_red.png,j._correa_blue.png
Charlie  Crist,Crist,Charlie,Charlie Crist,"Democratic Party, Florida, US Representative",charlie_crist_red.png,charlie_crist_blue.png
Salud  Carbajal,Carbajal,Salud,Salud Carbajal,"Democratic Party, California, US Representative",salud_carbajal_red.png,salud_carbajal_blue.png
Catherine  Cortez Masto,Cortez Masto,Catherine,Catherine Cortez Masto,"Democratic Party, Nevada, Senator",catherine_cortez_masto_red.png,catherine_cortez_masto_blue.png
Danny K. Davis,Davis,Danny K.,Danny K. Davis,"Democratic Party, Illinois, US Representative",danny_davis_red.png,danny_davis_blue.png
Thomas M. Davis,Davis,Thomas M.,Thomas M. Davis,"Republican Party, Virginia, US Representative",thomas_davis_red.png,thomas_davis_blue.png
Nathan  Deal,Deal,Nathan,Nathan Deal,"Republican Party, Georgia, US Representative",nathan_deal_red.png,nathan_deal_blue.png
Peter A. DeFazio,DeFazio,Peter A.,Peter A. DeFazio,"Democratic Party, Oregon, US Representative",peter_defazio_red.png,peter_defazio_blue.png
Diana L. DeGette,DeGette,Diana L.,Diana L. DeGette,"Democratic Party, Colorado, US Representative",diana_degette_red.png,diana_degette_blue.png
William D. Delahunt,Delahunt,William D.,William D. Delahunt,"Democratic Party, Massachusetts, US Representative",william_delahunt_red.png,william_delahunt_blue.png
Rosa L. DeLauro,DeLauro,Rosa L.,Rosa L. DeLauro,"Democratic Party, Connecticut, US Representative",rosa_delauro_red.png,rosa_delauro_blue.png
Lincoln  Diaz-Balart,Diaz-Balart,Lincoln,Lincoln Diaz-Balart,"Republican Party, Florida, US Representative",lincoln_diaz-balart_red.png,lincoln_diaz-balart_blue.png
Norman D. Dicks,Dicks,Norman D.,Norman D. Dicks,"Democratic Party, Washington, US Representative",norman_dicks_red.png,norman_dicks_blue.png
John D. Dingell,Dingell,John D.,John D. Dingell,"Democratic Party, Michigan, US Representative",john_dingell_red.png,john_dingell_blue.png
Christopher J. Dodd,Dodd,Christopher J.,Christopher J. Dodd,"Democratic Party, Connecticut, Senator",christopher_dodd_red.png,christopher_dodd_blue.png
Lloyd A. Doggett,Doggett,Lloyd A.,Lloyd A. Doggett,"Democratic Party, Texas, US Representative",lloyd_doggett_red.png,lloyd_doggett_blue.png
Pete V. Domenici,Domenici,Pete V.,Pete V. Domenici,"Republican Party, New Mexico, Senator",pete_domenici_red.png,pete_domenici_blue.png
John T. Doolittle,Doolittle,John T.,John T. Doolittle,"Republican Party, California, US Representative",john_doolittle_red.png,john_doolittle_blue.png
Byron L. Dorgan,Dorgan,Byron L.,Byron L. Dorgan,"Democratic Party, North Dakota, Senator",byron_dorgan_red.png,byron_dorgan_blue.png
Michael F. Doyle,Doyle,Michael F.,Michael F. Doyle,"Democratic Party, Pennsylvania, US Representative",michael_doyle_red.png,michael_doyle_blue.png
David T. Dreier,Dreier,David T.,David T. Dreier,"Republican Party, California, US Representative",david_dreier_red.png,david_dreier_blue.png
John J. Duncan,Duncan,John J.,John J. Duncan,"Republican Party, Tennessee, US Representative",john_duncan_red.png,john_duncan_blue.png
Richard J. Durbin,Durbin,Richard J.,Richard J. Durbin,"Democratic Party, Illinois, Senator",richard_durbin_red.png,richard_durbin_blue.png
Jim W. DeMint,DeMint,Jim W.,Jim W. DeMint,"Republican Party, South Carolina, Senator",jim_demint_red.png,jim_demint_blue.png
Jo Ann S. Davis,Davis,Jo Ann S.,Jo Ann S. Davis,"Republican Party, Virginia, US Representative",jo_davis_red.png,jo_davis_blue.png
Susan A. Davis,Davis,Susan A.,Susan A. Davis,"Democratic Party, California, US Representative",susan_davis_red.png,susan_davis_blue.png
Lincoln  Davis,Davis,Lincoln,Lincoln Davis,"Democratic Party, Tennessee, US Representative",lincoln_davis_red.png,lincoln_davis_blue.png
Mario  Diaz-Balart,Diaz-Balart,Mario,Mario Diaz-Balart,"Republican Party, Florida, US Representative",mario_diaz-balart_red.png,mario_diaz-balart_blue.png
Elizabeth H. Dole,Dole,Elizabeth H.,Elizabeth H. Dole,"Republican Party, North Carolina, Senator",elizabeth_dole_red.png,elizabeth_dole_blue.png
Artur  Davis,Davis,Artur,Artur Davis,"Democratic Party, Alabama, US Representative",artur_davis_red.png,artur_davis_blue.png
Geoff  Davis,Davis,Geoff,Geoff Davis,"Republican Party, Kentucky, US Representative",geoff_davis_red.png,geoff_davis_blue.png
Charles W. Dent,Dent,Charles W.,Charles W. Dent,"Republican Party, Pennsylvania, US Representative",charles_dent_red.png,charles_dent_blue.png
Thelma D. Drake,Drake,Thelma D.,Thelma D. Drake,"Republican Party, Virginia, US Representative",thelma_drake_red.png,thelma_drake_blue.png
David  Davis,Davis,David,David Davis,"Republican Party, Tennessee, US Representative",david_davis_red.png,david_davis_blue.png
Joe  Donnelly,Donnelly,Joe,Joe Donnelly,"Democratic Party, Indiana, Senator",joe_donnelly_red.png,joe_donnelly_blue.png
Kathleen A. Dahlkemper,Dahlkemper,Kathleen A.,Kathleen A. Dahlkemper,"Democratic Party, Pennsylvania, US Representative",kathleen_dahlkemper_red.png,kathleen_dahlkemper_blue.png
Steve  Driehaus,Driehaus,Steve,Steve Driehaus,"Democratic Party, Ohio, US Representative",steve_driehaus_red.png,steve_driehaus_blue.png
Theodore E. Deutch,Deutch,Theodore E.,Theodore E. Deutch,"Democratic Party, Florida, US Representative",theodore_deutch_red.png,theodore_deutch_blue.png
Charles  Djou,Djou,Charles,Charles Djou,"Republican Party, Hawaii, US Representative",charles_djou_red.png,charles_djou_blue.png
Jeff  Denham,Denham,Jeff,Jeff Denham,"Republican Party, California, US Representative",jeff_denham_red.png,jeff_denham_blue.png
Bob  Dold,Dold,Bob,Bob Dold,"Republican Party, Illinois, US Representative",bob_dold_red.png,bob_dold_blue.png
Sean P. Duffy,Duffy,Sean P.,Sean P. Duffy,"Republican Party, Wisconsin, US Representative",sean_duffy_red.png,sean_duffy_blue.png
Jeff  Duncan,Duncan,Jeff,Jeff Duncan,"Republican Party, South Carolina, US Representative",jeff_duncan_red.png,jeff_duncan_blue.png
Scott  DesJarlais,DesJarlais,Scott,Scott DesJarlais,"Republican Party, Tennessee, US Representative",scott_desjarlais_red.png,scott_desjarlais_blue.png
Suzan K. DelBene,DelBene,Suzan K.,Suzan K. DelBene,"Democratic Party, Washington, US Representative",suzan_delbene_red.png,suzan_delbene_blue.png
Steve  Daines,Daines,Steve,Steve Daines,"Republican Party, Montana, Senator",steve_daines_red.png,steve_daines_blue.png
Rodney  Davis,Davis,Rodney,Rodney Davis,"Republican Party, Illinois, US Representative",rodney_davis_red.png,rodney_davis_blue.png
John K. Delaney,Delaney,John K.,John K. Delaney,"Democratic Party, Maryland, US Representative",john_delaney_red.png,john_delaney_blue.png
Ron  DeSantis,DeSantis,Ron,Ron DeSantis,"Republican Party, Florida, US Representative",ron_desantis_red.png,ron_desantis_blue.png
Tammy  Duckworth,Duckworth,Tammy,Tammy Duckworth,"Democratic Party, Illinois, Senator",tammy_duckworth_red.png,tammy_duckworth_blue.png
Mark  DeSaulnier,DeSaulnier,Mark,Mark DeSaulnier,"Democratic Party, California, US Representative",mark_desaulnier_red.png,mark_desaulnier_blue.png
Debbie  Dingell,Dingell,Debbie,Debbie Dingell,"Democratic Party, Michigan, US Representative",debbie_dingell_red.png,debbie_dingell_blue.png
Daniel M. Donovan,Donovan,Daniel M.,Daniel M. Donovan,"Republican Party, New York, US Representative",daniel_donovan_red.png,daniel_donovan_blue.png
Warren  Davidson,Davidson,Warren,Warren Davidson,"Republican Party, Ohio, US Representative",warren_davidson_red.png,warren_davidson_blue.png
Val  Demings,Demings,Val,Val Demings,"Democratic Party, Florida, US Representative",val_demings_red.png,val_demings_blue.png
Neal  Dunn,Dunn,Neal,Neal Dunn,"Republican Party, Florida, US Representative",neal_dunn_red.png,neal_dunn_blue.png
Thomas  Edwards,Edwards,Thomas,Thomas Edwards,"Democratic Party, Texas, US Representative",thomas_edwards_red.png,thomas_edwards_blue.png
Vernon J. Ehlers,Ehlers,Vernon J.,Vernon J. Ehlers,"Republican Party, Michigan, US Representative",vernon_ehlers_red.png,vernon_ehlers_blue.png
Jo Ann H. Emerson,Emerson,Jo Ann H.,Jo Ann H. Emerson,"Republican Party, Missouri, US Representative",jo_emerson_red.png,jo_emerson_blue.png
Eliot L. Engel,Engel,Eliot L.,Eliot L. Engel,"Democratic Party, New York, US Representative",eliot_engel_red.png,eliot_engel_blue.png
Philip  English,English,Philip,Philip English,"Republican Party, Pennsylvania, US Representative",philip_english_red.png,philip_english_blue.png
John Eric Ensign,Ensign,John Eric,John Eric Ensign,"Republican Party, Nevada, Senator",john_ensign_red.png,john_ensign_blue.png
Anna G. Eshoo,Eshoo,Anna G.,Anna G. Eshoo,"Democratic Party, California, US Representative",anna_eshoo_red.png,anna_eshoo_blue.png
Bob R. Etheridge,Etheridge,Bob R.,Bob R. Etheridge,"Democratic Party, North Carolina, US Representative",bob_etheridge_red.png,bob_etheridge_blue.png
Terry  Everett,Everett,Terry,Terry Everett,"Republican Party, Alabama, US Representative",terry_everett_red.png,terry_everett_blue.png
Michael B. Enzi,Enzi,Michael B.,Michael B. Enzi,"Republican Party, Wyoming, Senator",michael_enzi_red.png,michael_enzi_blue.png
Rahm  Emanuel,Emanuel,Rahm,Rahm Emanuel,"Democratic Party, Illinois, US Representative",rahm_emanuel_red.png,rahm_emanuel_blue.png
Keith Maurice Ellison,Ellison,Keith Maurice,Keith Maurice Ellison,"Democratic Party, Minnesota, US Representative",keith_ellison_red.png,keith_ellison_blue.png
Brad  Ellsworth,Ellsworth,Brad,Brad Ellsworth,"Democratic Party, Indiana, US Representative",brad_ellsworth_red.png,brad_ellsworth_blue.png
Donna F. Edwards,Edwards,Donna F.,Donna F. Edwards,"Democratic Party, Maryland, US Representative",donna_edwards_red.png,donna_edwards_blue.png
Renee L. Ellmers,Ellmers,Renee L.,Renee L. Ellmers,"Republican Party, North Carolina, US Representative",renee_ellmers_red.png,renee_ellmers_blue.png
Elizabeth H. Esty,Esty,Elizabeth H.,Elizabeth H. Esty,"Democratic Party, Connecticut, US Representative",elizabeth_esty_red.png,elizabeth_esty_blue.png
Tom  Emmer,Emmer,Tom,Tom Emmer,"Republican Party, Minnesota, US Representative",tom_emmer_red.png,tom_emmer_blue.png
Joni  Ernst,Ernst,Joni,Joni Ernst,"Republican Party, Iowa, Senator",joni_ernst_red.png,joni_ernst_blue.png
Dwight  Evans,Evans,Dwight,Dwight Evans,"Democratic Party, Pennsylvania, US Representative",dwight_evans_red.png,dwight_evans_blue.png
Adriano  Espaillat,Espaillat,Adriano,Adriano Espaillat,"Democratic Party, New York, US Representative",adriano_espaillat_red.png,adriano_espaillat_blue.png
Sam  Farr,Farr,Sam,Sam Farr,"Democratic Party, California, US Representative",sam_farr_red.png,sam_farr_blue.png
Chaka  Fattah,Fattah,Chaka,Chaka Fattah,"Democratic Party, Pennsylvania, US Representative",chaka_fattah_red.png,chaka_fattah_blue.png
Russell D. Feingold,Feingold,Russell D.,Russell D. Feingold,"Democratic Party, Wisconsin, Senator",russell_feingold_red.png,russell_feingold_blue.png
Dianne  Feinstein,Feinstein,Dianne,Dianne Feinstein,"Democratic Party, California, Senator",dianne_feinstein_red.png,dianne_feinstein_blue.png
Bob  Filner,Filner,Bob,Bob Filner,"Democratic Party, California, US Representative",bob_filner_red.png,bob_filner_blue.png
Barney  Frank,Frank,Barney,Barney Frank,"Democratic Party, Massachusetts, US Representative",barney_frank_red.png,barney_frank_blue.png
Rodney P. Frelinghuysen,Frelinghuysen,Rodney P.,Rodney P. Frelinghuysen,"Republican Party, New Jersey, US Representative",rodney_frelinghuysen_red.png,rodney_frelinghuysen_blue.png
Vito J. Fossella,Fossella,Vito J.,Vito J. Fossella,"Republican Party, New York, US Representative",vito_fossella_red.png,vito_fossella_blue.png
Michael  Ferguson,Ferguson,Michael,Michael Ferguson,"Republican Party, New Jersey, US Representative",michael_ferguson_red.png,michael_ferguson_blue.png
Jeff  Flake,Flake,Jeff,Jeff Flake,"Republican Party, Arizona, Senator",jeff_flake_red.png,jeff_flake_blue.png
J. Randy Forbes,Forbes,J. Randy,J. Randy Forbes,"Republican Party, Virginia, US Representative",j._forbes_red.png,j._forbes_blue.png
Tom C. Feeney,Feeney,Tom C.,Tom C. Feeney,"Republican Party, Florida, US Representative",tom_feeney_red.png,tom_feeney_blue.png
Trent  Franks,Franks,Trent,Trent Franks,"Republican Party, Arizona, US Representative",trent_franks_red.png,trent_franks_blue.png
Jeff Lane Fortenberry,Fortenberry,Jeff Lane,Jeff Lane Fortenberry,"Republican Party, Nebraska, US Representative",jeff_fortenberry_red.png,jeff_fortenberry_blue.png
Virginia  Foxx,Foxx,Virginia,Virginia Foxx,"Republican Party, North Carolina, US Representative",virginia_foxx_red.png,virginia_foxx_blue.png
Michael G. Fitzpatrick,Fitzpatrick,Michael G.,Michael G. Fitzpatrick,"Republican Party, Pennsylvania, US Representative",michael_fitzpatrick_red.png,michael_fitzpatrick_blue.png
Mary  Fallin,Fallin,Mary,Mary Fallin,"Republican Party, Oklahoma, US Representative",mary_fallin_red.png,mary_fallin_blue.png
Bill  Foster,Foster,Bill,Bill Foster,"Democratic Party, Illinois, US Representative",bill_foster_red.png,bill_foster_blue.png
Marcia L. Fudge,Fudge,Marcia L.,Marcia L. Fudge,"Democratic Party, Ohio, US Representative",marcia_fudge_red.png,marcia_fudge_blue.png
John  Fleming,Fleming,John,John Fleming,"Republican Party, Louisiana, US Representative",john_fleming_red.png,john_fleming_blue.png
Alan Stuart Franken,Franken,Alan Stuart,Alan Stuart Franken,"Democratic Party, Minnesota, Senator",alan_franken_red.png,alan_franken_blue.png
Stephen Lee Fincher,Fincher,Stephen Lee,Stephen Lee Fincher,"Republican Party, Tennessee, US Representative",stephen_fincher_red.png,stephen_fincher_blue.png
Charles J. Fleischmann,Fleischmann,Charles J.,Charles J. Fleischmann,"Republican Party, Tennessee, US Representative",charles_fleischmann_red.png,charles_fleischmann_blue.png
Blake  Farenthold,Farenthold,Blake,Blake Farenthold,"Republican Party, Texas, US Representative",blake_farenthold_red.png,blake_farenthold_blue.png
Bill  Flores,Flores,Bill,Bill Flores,"Republican Party, Texas, US Representative",bill_flores_red.png,bill_flores_blue.png
Lois  Frankel,Frankel,Lois,Lois Frankel,"Democratic Party, Florida, US Representative",lois_frankel_red.png,lois_frankel_blue.png
Deb  Fischer,Fischer,Deb,Deb Fischer,"Republican Party, Nebraska, Senator",deb_fischer_red.png,deb_fischer_blue.png
John  Faso,Faso,John,John Faso,"Republican Party, New York, US Representative",john_faso_red.png,john_faso_blue.png
A.  Ferguson,Ferguson,A.,A. Ferguson,"Republican Party, Georgia, US Representative",a._ferguson_red.png,a._ferguson_blue.png
Brian  Fitzpatrick,Fitzpatrick,Brian,Brian Fitzpatrick,"Republican Party, Pennsylvania, US Representative",brian_fitzpatrick_red.png,brian_fitzpatrick_blue.png
Elton W. Gallegly,Gallegly,Elton W.,Elton W. Gallegly,"Republican Party, California, US Representative",elton_gallegly_red.png,elton_gallegly_blue.png
Wayne T. Gilchrest,Gilchrest,Wayne T.,Wayne T. Gilchrest,"Republican Party, Maryland, US Representative",wayne_gilchrest_red.png,wayne_gilchrest_blue.png
Paul E. Gillmor,Gillmor,Paul E.,Paul E. Gillmor,"Republican Party, Ohio, US Representative",paul_gillmor_red.png,paul_gillmor_blue.png
Virgil H. Goode,Goode,Virgil H.,Virgil H. Goode,"Republican Party, Virginia, US Representative",virgil_goode_red.png,virgil_goode_blue.png
Bob W. Goodlatte,Goodlatte,Bob W.,Bob W. Goodlatte,"Republican Party, Virginia, US Representative",bob_goodlatte_red.png,bob_goodlatte_blue.png
Barton Jennings Gordon,Gordon,Barton Jennings,Barton Jennings Gordon,"Democratic Party, Tennessee, US Representative",barton_gordon_red.png,barton_gordon_blue.png
Kay  Granger,Granger,Kay,Kay Granger,"Republican Party, Texas, US Representative",kay_granger_red.png,kay_granger_blue.png
Charles E. Grassley,Grassley,Charles E.,Charles E. Grassley,"Republican Party, Iowa, Senator",charles_grassley_red.png,charles_grassley_blue.png
Gene Eugene Green,Green,Gene Eugene,Gene Eugene Green,"Democratic Party, Texas, US Representative",gene_green_red.png,gene_green_blue.png
Judd A. Gregg,Gregg,Judd A.,Judd A. Gregg,"Republican Party, New Hampshire, Senator",judd_gregg_red.png,judd_gregg_blue.png
Luis V. Guti√©rrez,Guti√©rrez,Luis V.,Luis V. Guti√©rrez,"Democratic Party, Illinois, US Representative",luis_guti„©rrez_red.png,luis_guti„©rrez_blue.png
Charles A. Gonzalez,Gonzalez,Charles A.,Charles A. Gonzalez,"Democratic Party, Texas, US Representative",charles_gonzalez_red.png,charles_gonzalez_blue.png
Sam B. Graves,Graves,Sam B.,Sam B. Graves,"Republican Party, Missouri, US Representative",sam_graves_red.png,sam_graves_blue.png
Scott  Garrett,Garrett,Scott,Scott Garrett,"Republican Party, New Jersey, US Representative",scott_garrett_red.png,scott_garrett_blue.png
Jim  Gerlach,Gerlach,Jim,Jim Gerlach,"Republican Party, Pennsylvania, US Representative",jim_gerlach_red.png,jim_gerlach_blue.png
Phil  Gingrey,Gingrey,Phil,Phil Gingrey,"Republican Party, Georgia, US Representative",phil_gingrey_red.png,phil_gingrey_blue.png
Ra√∫l M. Grijalva,Grijalva,Ra√∫l M.,Ra√∫l M. Grijalva,"Democratic Party, Arizona, US Representative",ra„∫l_grijalva_red.png,ra„∫l_grijalva_blue.png
Louie B. Gohmert,Gohmert,Louie B.,Louie B. Gohmert,"Republican Party, Texas, US Representative",louie_gohmert_red.png,louie_gohmert_blue.png
Al  Green,Green,Al,Al Green,"Democratic Party, Texas, US Representative",al_green_red.png,al_green_blue.png
Gabrielle  Giffords,Giffords,Gabrielle,Gabrielle Giffords,"Democratic Party, Arizona, US Representative",gabrielle_giffords_red.png,gabrielle_giffords_blue.png
Kirsten E. Gillibrand,Gillibrand,Kirsten E.,Kirsten E. Gillibrand,"Democratic Party, New York, Senator",kirsten_gillibrand_red.png,kirsten_gillibrand_blue.png
Alan  Grayson,Grayson,Alan,Alan Grayson,"Democratic Party, Florida, US Representative",alan_grayson_red.png,alan_grayson_blue.png
Parker  Griffith,Griffith,Parker,Parker Griffith,"Republican Party, Alabama, US Representative",parker_griffith_red.png,parker_griffith_blue.png
Brett  Guthrie,Guthrie,Brett,Brett Guthrie,"Republican Party, Kentucky, US Representative",brett_guthrie_red.png,brett_guthrie_blue.png
John  Garamendi,Garamendi,John,John Garamendi,"Democratic Party, California, US Representative",john_garamendi_red.png,john_garamendi_blue.png
Tom  Graves,Graves,Tom,Tom Graves,"Republican Party, Georgia, US Representative",tom_graves_red.png,tom_graves_blue.png
Carte P. Goodwin,Goodwin,Carte P.,Carte P. Goodwin,"Democratic Party, West Virginia, Senator",carte_goodwin_red.png,carte_goodwin_blue.png
Cory  Gardner,Gardner,Cory,Cory Gardner,"Republican Party, Colorado, Senator",cory_gardner_red.png,cory_gardner_blue.png
Bob  Gibbs,Gibbs,Bob,Bob Gibbs,"Republican Party, Ohio, US Representative",bob_gibbs_red.png,bob_gibbs_blue.png
Christopher P. Gibson,Gibson,Christopher P.,Christopher P. Gibson,"Republican Party, New York, US Representative",christopher_gibson_red.png,christopher_gibson_blue.png
Paul A. Gosar,Gosar,Paul A.,Paul A. Gosar,"Republican Party, Arizona, US Representative",paul_gosar_red.png,paul_gosar_blue.png
Trey  Gowdy,Gowdy,Trey,Trey Gowdy,"Republican Party, South Carolina, US Representative",trey_gowdy_red.png,trey_gowdy_blue.png
Tim  Griffin,Griffin,Tim,Tim Griffin,"Republican Party, Arkansas, US Representative",tim_griffin_red.png,tim_griffin_blue.png
H. Morgan Griffith,Griffith,H. Morgan,H. Morgan Griffith,"Republican Party, Virginia, US Representative",h._griffith_red.png,h._griffith_blue.png
Michael G. Grimm,Grimm,Michael G.,Michael G. Grimm,"Republican Party, New York, US Representative",michael_grimm_red.png,michael_grimm_blue.png
Frank  Guinta,Guinta,Frank,Frank Guinta,"Republican Party, New Hampshire, US Representative",frank_guinta_red.png,frank_guinta_blue.png
Tulsi  Gabbard,Gabbard,Tulsi,Tulsi Gabbard,"Democratic Party, Hawaii, US Representative",tulsi_gabbard_red.png,tulsi_gabbard_blue.png
Ruben  Gallego,Gallego,Ruben,Ruben Gallego,"Democratic Party, Arizona, US Representative",ruben_gallego_red.png,ruben_gallego_blue.png
Glenn  Grothman,Grothman,Glenn,Glenn Grothman,"Republican Party, Wisconsin, US Representative",glenn_grothman_red.png,glenn_grothman_blue.png
Garret  Graves,Graves,Garret,Garret Graves,"Republican Party, Louisiana, US Representative",garret_graves_red.png,garret_graves_blue.png
Matt  Gaetz,Gaetz,Matt,Matt Gaetz,"Republican Party, Florida, US Representative",matt_gaetz_red.png,matt_gaetz_blue.png
